State,State Abbreviation,State Status,State Closure Status,State Closure Start Date,Date closed for the academic year,State Number of Public Schools,State Public School Enrollment
Alabama,AL,State ordered closure,Ordered closed for the academic year,3/19/20,4/6/20,"1,513","744,930"
Alaska,AK,State ordered closure,Ordered closed for the academic year,3/16/20,4/9/20,507,"132,737"
American Samoa,AS,State ordered closure,Ordered closed until further notice,3/23/20,n/a,28,n/a
Arizona,AZ,State ordered closure,Ordered closed for the academic year,3/16/20,3/30/20,"2,308","1,123,137"
Arkansas,AR,State ordered closure,Ordered closed for the academic year,3/17/20,4/6/20,"1,089","493,447"
Bureau of Indian Education,BIE,Closures determined at school/district levels,Varies by school/district,n/a,n/a,174,"45,399"
California,CA,State recommended closure,Recommended closed for the academic year,3/19/20,4/1/20,"10,286","6,309,138"
Colorado,CO,State ordered closure,Ordered closed for the academic year,3/23/20,4/20/20,"1,888","905,019"
Connecticut,CT,State ordered closure,Ordered closed for the academic year,3/17/20,5/5/20,"1,250","535,118"
Delaware,DE,State ordered closure,Ordered closed for the academic year,3/16/20,4/24/20,228,"136,264"
Department of Defense Education Activity,DoD,State recommended closure,Recommended closed for the academic year,3/25/20,5/1/20,163,"70,852"
District of Columbia,DC,State ordered closure,Ordered closed for the academic year,3/16/20,4/17/20,223,"85,850"
Florida,FL,State recommended closure,Recommended closed for the academic year,3/16/20,4/18/20,"4,178","2,816,791"
Georgia,GA,State ordered closure,Ordered closed for the academic year,3/18/20,4/1/20,"2,300","1,764,346"
Guam,GU,State ordered closure,Ordered closed for the academic year,3/16/20,4/6/20,41,"30,758"
Hawaii,HI,State ordered closure,Ordered closed for the academic year,3/23/20,4/17/20,290,"181,550"
Idaho,ID,State recommended closure,Recommended closed for the academic year,3/24/20,4/6/20,745,"297,200"
Illinois,IL,State ordered closure,Ordered closed for the academic year,3/17/20,4/17/20,"4,173","2,026,718"
Indiana,IN,State ordered closure,Ordered closed for the academic year,3/20/20,4/2/20,"1,921","1,049,547"
Iowa,IA,State ordered closure,Ordered closed for the academic year,3/16/20,4/17/20,"1,328","509,831"
Kansas,KS,State ordered closure,Ordered closed for the academic year,3/18/20,3/17/20,"1,318","494,347"
Kentucky,KY,State recommended closure,Recommended closed for the academic year,3/16/20,4/20/20,"1,539","684,017"
Louisiana,LA,State ordered closure,Ordered closed for the academic year,3/16/20,4/15/20,"1,404","716,293"
Maine,ME,State recommended closure,Recommended closed for the academic year,3/16/20,3/31/20,605,"180,512"
Maryland,MD,State ordered closure,Ordered closed for the academic year,3/16/20,5/6/20,"1,424","886,221"
Massachusetts,MA,State ordered closure,Ordered closed for the academic year,3/17/20,4/21/20,"1,856","964,514"
Michigan,MI,State ordered closure,Ordered closed for the academic year,3/16/20,4/2/20,"3,458","1,528,666"
Minnesota,MN,State ordered closure,Ordered closed for the academic year,3/18/20,4/23/20,"2,513","875,021"
Mississippi,MS,State ordered closure,Ordered closed for the academic year,3/20/20,4/14/20,"1,066","483,150"
Missouri,MO,State ordered closure,Ordered closed for the academic year,3/23/20,4/9/20,"2,424","915,040"
Montana,MT,Closure expired,Varies by school/district,3/16/20,n/a,820,"146,375"
Nebraska,NE,State ordered closure,Ordered closed for the academic year,3/23/20,4/3/20,"1,095","319,194"
Nevada,NV,State ordered closure,Ordered closed for the academic year,3/16/20,4/21/20,657,"473,744"
New Hampshire,NH,State ordered closure,Ordered closed for the academic year,3/16/20,4/16/20,490,"180,888"
New Jersey,NJ,State ordered closure,Ordered closed for the academic year,3/18/20,5/4/20,"2,590","1,410,421"
New Mexico,NM,State ordered closure,Ordered closed for the academic year,3/16/20,3/26/20,869,"336,263"
New York,NY,State ordered closure,Ordered closed for the academic year,3/18/20,5/1/20,"4,798","2,729,776"
North Carolina,NC,State ordered closure,Ordered closed for the academic year,3/16/20,4/24/20,"2,624","1,550,062"
North Dakota,ND,State ordered closure,Ordered closed for the academic year,3/16/20,5/1/20,519,"109,706"
"Northern Marianas	",MP,State ordered closure,Ordered closed for the academic year,3/17/20,3/17/20,n/a,n/a
Ohio,OH,State ordered closure,Ordered closed for the academic year,3/17/20,4/20/20,"3,591","1,710,143"
Oklahoma,OK,State ordered closure,Ordered closed for the academic year,3/17/20,3/25/20,"1,792","693,903"
Oregon,OR,State ordered closure,Ordered closed for the academic year,3/16/20,4/8/20,"1,243","606,277"
Pennsylvania,PA,State ordered closure,Ordered closed for the academic year,3/16/20,4/9/20,"3,004","1,727,497"
Puerto Rico,PR,State ordered closure,Ordered closed for the academic year,3/16/20,4/24/20,"1,283","365,181"
Rhode Island,RI,State ordered closure,Ordered closed for the academic year,3/23/20,4/23/20,315,"142,150"
South Carolina,SC,State ordered closure,Ordered closed for the academic year,3/16/20,4/22/00,"1,252","771,250"
South Dakota,SD,State recommended closure,Recommended closed for the academic year,3/16/20,4/6/20,697,"136,302"
Tennessee,TN,State recommended closure,Recommended closed for the academic year,3/20/20,4/15/20,"1,774","1,001,562"
Texas,TX,State ordered closure,Ordered closed for the academic year,3/23/20,4/17/20,"8,909","5,360,849"
"U.S. Virgin Islands	",VI,State ordered closure,Ordered closed for the academic year,3/18/20,4/8/20,28,"13,194"
Utah,UT,State ordered closure,Ordered closed for the academic year,3/16/20,4/14/20,"1,037","659,801"
Vermont,VT,State ordered closure,Ordered closed for the academic year,3/18/20,3/26/20,312,"88,428"
Virginia,VA,State ordered closure,Ordered closed for the academic year,3/16/20,3/23/20,"2,134","1,287,026"
Washington,WA,State ordered closure,Ordered closed for the academic year,3/17/20,4/6/20,"2,436","1,101,711"
West Virginia,WV,State ordered closure,Ordered closed for the academic year,3/16/20,4/21/20,739,"273,855"
Wisconsin,WI,State ordered closure,Ordered closed for the academic year,3/18/20,4/16/20,"2,256","864,432"
Wyoming,WY,State ordered closure,Ordered closed through 5/15/2020,3/16/20,n/a,371,"94,170"
